University,Location,GradeA,GradeB,GradeC,GradeD,GradeE,Quota,EntranceExam,Majors
សាកលវិទ្យាល័យវិទ្យាស្ថានអាហ្កា - AGA University / Institute,Phnom Penh,100,85,0,0,0,130,Yes,Marketing|Accounting|Management|Commerce|Economics|Education|English|Computer Science
សាកលវិទ្យាល័យ ពាណិជ្ជសាស្ត្រ អេស៊ីលីដា - ACLEDA University of Business,Phnom Penh,100,80,50,30,0,115,Yes,Banking and Finance|International Business|Risk Management and Insurance|Business Information Technology|English for Business Communication|Accounting|Teaching English as a Foreign Language|Computer Science and Engineering|English for Translation Skills|Financial Technology|Supply Chain and Logistics Management|Business and Enterprise Management|Commercial Economics|Law|Marketing
សាកលវិទ្យាល័យ ប៊ែលធី អន្តរជាតិ - BELTEI International University,Phnom Penh,100,75,0,0,0,90,No,Business Administration|Banking and Finance|Economics|Law|Digital Technology|Tourism|Information Technology|Education| Arts and Humanities|Engineering|Architecture|International Relations|Civil Aviation
សាកលវិទ្យាល័យបូណាម៉ារី - Bonamari University,Phnom Penh,100,80,0,0,0,30,No,Khmer Literature (Social Science| Khmer Literature Grade B or higher)|Mathematics (Science| Mathematics Grade B or higher)
សាកលវិទ្យាល័យមេគង្គកម្ពុជា - Cambodia Mekong University (CMU),Phnom Penh,100,90,0,0,0,125,Yes,Hotel and Tourism Management|Human Resource Management|Marketing|Banking and Finance
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (ភ្នំពេញ) - Cambodia University of Specialties (CUS),Phnom Penh,100,80,70,50,10,30,Yes,Marketing|Accounting|Tourism|Banking|English|Public Law|Information Technology|Computer Science|Khmer Literature|History|Geography|Mathematics|Physics|Chemistry|Biology
សាកលវិទ្យាល័យ អាស៊ី អឺរ៉ុប - Asia Europe University (AEU),Phnom Penh,85,70,0,0,0,45,Yes,English|International Relations|Chinese Literature|Management|Marketing|Accounting|Economics|Banking and Finance|International Business|Law|Political Science and International Relations|Public Administration
សាកលវិទ្យាល័យ អាយអាយស៊ី នៃបច្ចេកវិទ្យា - IIC University of Technology,Phnom Penh,100,80,40,20,10,120,No,Management|Accounting|Law|Public Administration|Computer Science
វិទ្យាស្ថានខ្មែរជំនាន់ថ្មី - Khmer Generation Institute,Phnom Penh,100,75,0,0,0,30,Yes,English Literature|Law|Public Administration|Computer Science|Management|Accounting|Marketing|Banking|Tourism|Economics
សាកលវិទ្យាល័យ អន្តរជាតិ - International University (IU),Phnom Penh,100,85,50,30,0,115,No,Management|Banking and Finance|English Literature|Community Health|Environmental Health|Civil Engineering
